,C,H,N,O,S,P,Intensity
378,25,20,0,9,0,0,3174571.0
379,25,20,0,10,0,0,4241206.666666667
380,25,20,0,11,0,0,4743175.0
381,25,20,0,12,0,0,5150921.0
382,25,20,0,13,0,0,5608450.333333333
383,25,21,1,12,0,0,2488740.0
384,25,21,1,13,0,0,2512300.3333333335
385,25,22,0,8,0,0,3073788.6666666665
386,25,22,0,9,0,0,4330335.0
387,26,18,0,13,0,0,3176300.3333333335
388,26,18,0,14,0,0,2926042.6666666665
389,26,18,0,15,0,0,3270717.0
390,26,18,0,16,0,0,3043063.3333333335
391,26,18,0,17,0,0,3131987.0
392,26,20,0,11,0,0,3606501.6666666665
393,26,20,0,12,0,0,3917429.0
394,26,20,0,13,0,0,4357477.666666667
395,26,20,0,14,0,0,4545163.666666667
396,26,20,0,15,0,0,4671121.333333333
397,26,22,0,9,0,0,3264209.3333333335
398,26,22,0,10,0,0,4415012.666666667
399,26,22,0,11,0,0,5340083.333333333
400,27,20,0,12,0,0,2704243.3333333335
401,27,20,0,13,0,0,3193820.0
402,27,20,0,14,0,0,3231567.3333333335
403,27,20,0,15,0,0,3859535.0
404,27,20,0,16,0,0,3488998.6666666665
405,27,20,0,17,0,0,3188006.3333333335
406,27,22,0,11,0,0,3781367.6666666665
407,27,22,0,12,0,0,4566554.0
408,27,22,0,13,0,0,4486963.0
409,27,24,0,9,0,0,2875971.6666666665
410,28,20,0,15,0,0,2679642.0
411,28,20,0,16,0,0,2637295.0
412,28,20,0,17,0,0,2741123.6666666665
413,28,20,0,18,0,0,2412826.6666666665
414,28,22,0,13,0,0,3657667.3333333335
415,28,22,0,14,0,0,3808347.3333333335
416,28,22,0,15,0,0,3745316.0
417,28,24,0,11,0,0,3677217.0
418,29,22,0,14,0,0,2925037.3333333335
419,29,22,0,15,0,0,3147762.6666666665
420,29,22,0,17,0,0,2779352.3333333335
421,29,24,0,13,0,0,3786183.3333333335
422,30,24,0,13,0,0,2903854.0
423,30,24,0,14,0,0,3131033.3333333335
424,30,24,0,15,0,0,3445846.0
434,19,19,3,7,0,0,2235118.0
436,20,17,3,9,0,0,2080931.5
439,21,19,3,10,0,0,2368727.5
440,22,17,1,9,0,0,2617120.0
442,22,18,2,10,0,0,2084135.5
443,23,17,1,11,0,0,2590752.5
445,23,21,3,10,0,0,2214460.5
447,25,16,0,13,0,0,2502391.5
450,21,15,1,8,0,0,2064763.6666666667
451,21,18,2,8,0,0,2473462.6666666665
452,21,21,3,8,0,0,2344481.6666666665
453,22,15,1,10,0,0,2328425.0
454,22,18,2,9,0,0,2259518.3333333335
456,22,20,2,8,0,0,2199316.3333333335
457,23,14,0,13,0,0,2640185.0
458,23,22,2,9,0,0,2023672.0
459,24,16,0,10,0,0,2805416.0
460,24,19,1,11,0,0,2503844.0
461,24,21,1,10,0,0,2367205.0
462,25,23,3,11,0,0,2255118.6666666665
463,26,18,0,12,0,0,2486686.3333333335
465,27,18,0,14,0,0,2180714.0
467,28,22,0,12,0,0,2966498.0
468,29,22,0,16,0,0,3091275.6666666665
469,29,24,0,11,0,0,2532672.0
470,29,24,0,12,0,0,3078722.0
471,31,24,0,16,0,0,2411223.6666666665
472,31,26,0,12,0,0,2284829.3333333335
473,31,26,0,13,0,0,2800441.0
474,32,26,0,15,0,0,2441600.3333333335
482,20,15,1,7,0,0,1914620.0
483,20,19,3,7,0,0,2090854.0
484,20,21,3,7,0,0,2307542.5
486,21,19,3,8,0,0,2116734.0
487,22,16,0,7,0,0,2496286.0
488,22,21,3,11,0,0,2471249.5
489,23,17,1,10,0,0,2231973.0
491,23,21,1,8,0,0,2300961.0
492,24,19,1,14,0,0,2231989.5
493,25,19,1,13,0,0,2060990.0
494,25,21,1,11,0,0,2245185.5
496,26,21,1,14,0,0,2177699.0
498,26,23,1,11,0,0,2350933.5
499,30,22,0,17,0,0,2504956.0
500,30,22,0,18,0,0,2214195.5
501,31,24,0,15,0,0,2500051.5
507,20,16,2,7,0,0,1971343.6666666667
508,20,17,3,8,0,0,1956428.6666666667
509,21,20,2,7,0,0,2048550.0
510,23,17,1,12,0,0,2301573.3333333335
511,23,23,3,8,0,0,2094051.0
512,24,22,2,11,0,0,2338949.6666666665
513,25,16,0,12,0,0,2226656.0
515,25,18,0,10,0,0,2847095.0
516,26,18,0,11,0,0,2295142.0
517,26,20,0,10,0,0,2884840.3333333335
518,27,18,0,16,0,0,2571634.3333333335
519,27,20,0,11,0,0,2358635.0
520,27,22,0,10,0,0,2790166.0
521,28,20,0,14,0,0,2799894.6666666665
522,28,22,0,11,0,0,2293281.3333333335
523,29,20,0,15,0,0,2178536.0
524,29,22,0,13,0,0,2482660.0
525,30,22,0,16,0,0,2364101.3333333335
528,21,14,0,7,0,0,1771868.0
530,21,17,1,7,0,0,1948179.0
531,21,19,3,7,0,0,2005225.0
533,22,21,1,7,0,0,1967314.0
534,22,21,3,8,0,0,2514648.0
535,23,16,0,8,0,0,2415139.5
537,24,21,1,9,0,0,2271400.5
538,24,23,3,9,0,0,2230294.5
539,25,20,0,8,0,0,2556992.0
540,25,23,3,9,0,0,2222227.5
541,28,20,0,13,0,0,2545996.5
542,28,24,0,10,0,0,2912126.5
543,31,24,0,17,0,0,2445257.0
549,22,22,2,7,0,0,2061306.0
550,23,14,0,11,0,0,2345986.6666666665
551,23,17,1,9,0,0,2133448.6666666665
552,23,18,0,7,0,0,2103162.0
553,23,19,1,9,0,0,2573333.0
555,26,20,0,9,0,0,2360091.6666666665
556,27,18,0,15,0,0,2376789.3333333335
557,28,20,0,12,0,0,2220007.6666666665
560,30,22,0,14,0,0,2207026.3333333335
567,22,17,1,8,0,0,1968927.5
568,22,19,1,7,0,0,2018316.0
569,23,20,2,10,0,0,2329538.0
571,24,17,1,11,0,0,2077632.5
572,24,17,1,12,0,0,2233660.5
573,24,19,1,10,0,0,2352120.5
574,24,22,2,10,0,0,2027705.0
575,25,18,0,9,0,0,2233660.5
576,25,19,1,12,0,0,2150342.0
577,25,22,0,7,0,0,2044977.0
579,27,18,0,13,0,0,2282231.5
580,27,22,0,9,0,0,2092550.5
581,30,22,0,15,0,0,2528427.0
583,30,24,0,12,0,0,2540668.0
584,30,26,0,11,0,0,2362510.5
586,31,24,0,14,0,0,2210546.0
587,33,26,0,16,0,0,2217908.0
589,40,35,2,8,1,1,1901515.5
592,42,41,2,8,1,1,2093182.0
631,15,14,0,9,0,0,6610627.666666667
632,15,14,0,10,0,0,8704169.666666666
633,15,14,0,11,0,0,10399004.333333334
642,15,16,0,9,0,0,10408630.333333334
643,15,16,0,10,0,0,13356801.666666666
644,15,16,0,11,0,0,13549191.666666666
654,15,18,0,8,0,0,8608871.0
655,15,18,0,9,0,0,11274272.0
656,15,18,0,10,0,0,12583623.0
675,16,14,0,8,0,0,7599606.0
676,16,14,0,9,0,0,7944629.333333333
677,16,14,0,10,0,0,11089164.333333334
678,16,14,0,11,0,0,12829979.333333334
679,16,14,0,12,0,0,11201407.666666666
683,16,15,1,9,0,0,4868883.666666667
687,16,16,0,7,0,0,4524692.0
688,16,16,0,8,0,0,8312915.0
689,16,16,0,9,0,0,12853885.666666666
690,16,16,0,10,0,0,18488262.333333332
691,16,16,0,11,0,0,20738296.666666668
692,16,16,0,12,0,0,17056008.0
699,16,17,1,8,0,0,3046090.6666666665
700,16,17,1,9,0,0,4344607.0
704,16,18,0,7,0,0,5650999.333333333
