,C,H,N,O,S,P,Intensity
783,17,19,1,7,0,0,2473335.6666666665
784,17,19,1,8,0,0,4456913.333333333
785,17,19,1,9,0,0,5496985.333333333
786,17,19,1,10,0,0,5295298.666666667
787,17,19,1,11,0,0,3661545.3333333335
788,17,20,0,6,0,0,4129435.3333333335
789,17,20,0,7,0,0,9133150.0
790,17,20,0,8,0,0,17485112.666666668
791,17,20,0,9,0,0,29214339.333333332
792,17,20,0,10,0,0,34980106.0
793,17,20,0,11,0,0,29989823.666666668
794,17,20,0,12,0,0,17602145.0
795,17,20,0,13,0,0,8052652.0
796,17,20,0,14,0,0,2687844.3333333335
797,17,20,2,6,0,0,1755357.0
798,17,20,2,7,0,0,2780976.3333333335
799,17,20,2,8,0,0,3425964.0
800,17,20,2,9,0,0,3592685.3333333335
801,17,20,2,10,0,0,2534861.6666666665
802,17,21,1,7,0,0,2240901.3333333335
803,17,21,1,8,0,0,3186482.0
804,17,21,1,9,0,0,3995092.3333333335
805,17,21,1,10,0,0,3658335.6666666665
806,17,21,1,11,0,0,2429708.6666666665
808,17,22,0,6,0,0,4834538.0
809,17,22,0,7,0,0,10456453.666666666
810,17,22,0,8,0,0,17636213.666666668
811,17,22,0,9,0,0,24301549.0
812,17,22,0,10,0,0,23986045.0
813,17,22,0,11,0,0,16386328.333333334
814,17,22,0,12,0,0,7715402.0
815,17,22,0,13,0,0,2684953.6666666665
816,17,22,2,7,0,0,1826103.3333333333
817,17,22,2,8,0,0,2086213.0
818,17,23,1,7,0,0,1844403.6666666667
819,17,23,1,8,0,0,2074777.3333333333
820,17,23,1,9,0,0,2243665.6666666665
821,17,24,0,5,0,0,1859958.0
822,17,24,0,6,0,0,4462074.0
823,17,24,0,7,0,0,8344953.666666667
824,17,24,0,8,0,0,11587363.666666666
825,17,24,0,9,0,0,12257624.666666666
826,17,24,0,10,0,0,9052972.666666666
827,17,24,0,11,0,0,4412649.333333333
828,17,24,0,12,0,0,2439013.3333333335
829,18,14,0,12,0,0,9465599.333333334
830,18,14,0,13,0,0,7899336.0
831,18,14,0,14,0,0,5752891.666666667
834,18,16,0,8,0,0,11181719.333333334
835,18,16,0,9,0,0,14236662.666666666
836,18,16,0,10,0,0,17059683.333333332
837,18,16,0,11,0,0,17959554.333333332
838,18,16,0,12,0,0,16187357.0
839,18,16,0,13,0,0,14181309.0
840,18,16,0,14,0,0,9788908.666666666
841,18,16,0,15,0,0,5060049.333333333
843,18,17,1,8,0,0,4450470.333333333
844,18,17,1,9,0,0,6031798.333333333
845,18,17,1,10,0,0,6482649.333333333
846,18,17,1,11,0,0,5006196.666666667
847,18,17,1,12,0,0,3542254.6666666665
848,18,17,1,13,0,0,2318441.3333333335
849,18,18,0,6,0,0,4097961.3333333335
850,18,18,0,7,0,0,8672086.333333334
851,18,18,0,8,0,0,21789316.333333332
852,18,18,0,9,0,0,22157993.333333332
853,18,18,0,10,0,0,27240462.0
854,18,18,0,11,0,0,28277864.666666668
855,18,18,0,12,0,0,25493663.0
856,18,18,0,13,0,0,18404352.0
857,18,18,0,14,0,0,11082668.0
858,18,18,0,15,0,0,5014552.666666667
859,18,18,2,8,0,0,4746924.0
860,18,18,2,9,0,0,5527673.0
861,18,18,2,10,0,0,4381786.333333333
862,18,18,2,11,0,0,3464564.6666666665
863,18,19,1,7,0,0,3053890.3333333335
864,18,19,1,8,0,0,4779528.0
865,18,19,1,9,0,0,6024135.333333333
866,18,19,1,10,0,0,6410795.666666667
867,18,19,1,11,0,0,4742211.333333333
868,18,19,1,12,0,0,3543520.0
869,18,19,3,8,0,0,2334903.6666666665
871,18,20,0,6,0,0,5322358.333333333
872,18,20,0,7,0,0,10563885.666666666
873,18,20,0,8,0,0,26584021.0
874,18,20,0,9,0,0,31695867.666666668
875,18,20,0,10,0,0,38352361.0
876,18,20,0,11,0,0,36467573.666666664
877,18,20,0,12,0,0,28501661.0
878,18,20,0,13,0,0,17253439.0
879,18,20,0,14,0,0,7511761.333333333
880,18,20,0,15,0,0,2681623.6666666665
881,18,20,2,6,0,0,2016175.0
882,18,20,2,7,0,0,3138916.3333333335
883,18,20,2,8,0,0,4360738.666666667
884,18,20,2,9,0,0,4729827.666666667
885,18,20,2,10,0,0,3885879.3333333335
886,18,20,2,11,0,0,2729406.6666666665
887,18,21,1,7,0,0,3148087.3333333335
888,18,21,1,8,0,0,4421472.0
889,18,21,1,9,0,0,5352543.0
890,18,21,1,10,0,0,4639055.333333333
891,18,21,1,11,0,0,3702520.3333333335
892,18,21,3,7,0,0,2211019.3333333335
893,18,22,0,5,0,0,2535359.0
894,18,22,0,6,0,0,6239414.0
895,18,22,0,7,0,0,12855765.0
896,18,22,0,8,0,0,24340444.666666668
897,18,22,0,9,0,0,33632916.333333336
898,18,22,0,10,0,0,38773659.0
899,18,22,0,11,0,0,31260589.333333332
900,18,22,0,12,0,0,19004548.666666668
901,18,22,0,13,0,0,8880593.666666666
902,18,22,0,14,0,0,3153588.6666666665
903,18,22,2,7,0,0,2651841.6666666665
904,18,22,2,8,0,0,3270348.3333333335
905,18,22,2,9,0,0,3101299.3333333335
906,18,22,2,10,0,0,2432675.0
907,18,23,1,7,0,0,2872633.3333333335
908,18,23,1,8,0,0,3422720.6666666665
909,18,23,1,9,0,0,3700432.3333333335
910,18,23,1,10,0,0,3251611.3333333335
912,18,24,0,5,0,0,3047245.6666666665
913,18,24,0,6,0,0,7723796.0
