,C,H,N,O,S,P,Intensity
709,16,18,0,12,0,0,14346508.333333334
710,16,18,0,13,0,0,5961967.0
715,16,18,2,10,0,0,2253969.6666666665
719,16,19,1,10,0,0,3605227.0
720,16,19,1,11,0,0,2176109.6666666665
723,16,20,0,8,0,0,12983661.333333334
724,16,20,0,9,0,0,18139581.333333332
725,16,20,0,10,0,0,19538928.333333332
726,16,20,0,11,0,0,13716252.0
727,16,20,0,12,0,0,6351070.333333333
735,16,22,0,8,0,0,9763543.333333334
736,16,22,0,9,0,0,10380675.333333334
737,16,22,0,10,0,0,8665092.666666666
738,16,22,0,11,0,0,4591281.0
739,16,22,0,12,0,0,2161105.3333333335
740,17,14,0,10,0,0,10849601.333333334
741,17,14,0,11,0,0,12150783.0
742,17,14,0,12,0,0,11646730.666666666
743,17,14,0,13,0,0,8651590.333333334
744,17,14,0,14,0,0,5320020.0
745,17,14,0,15,0,0,2504447.6666666665
746,17,15,1,10,0,0,5256119.666666667
747,17,15,1,11,0,0,3837475.3333333335
748,17,15,1,12,0,0,2376597.3333333335
751,17,16,0,8,0,0,9866185.333333334
752,17,16,0,9,0,0,15557571.0
753,17,16,0,10,0,0,18659646.666666668
754,17,16,0,11,0,0,21408559.666666668
755,17,16,0,12,0,0,19430937.0
756,17,16,0,13,0,0,13843439.333333334
757,17,16,0,14,0,0,7536360.666666667
758,17,16,0,15,0,0,3069306.0
759,17,16,2,10,0,0,4141360.0
760,17,16,2,11,0,0,2474974.0
763,17,17,1,9,0,0,5399373.666666667
764,17,17,1,10,0,0,5734480.333333333
765,17,17,1,11,0,0,4523335.333333333
766,17,17,1,12,0,0,2920010.3333333335
769,17,18,0,8,0,0,12980677.333333334
770,17,18,0,9,0,0,22437151.0
771,17,18,0,10,0,0,29577858.666666668
772,17,18,0,11,0,0,31400845.666666668
773,17,18,0,12,0,0,24051622.666666668
774,17,18,0,13,0,0,14026541.0
775,17,18,0,14,0,0,6069371.333333333
776,17,18,0,15,0,0,2226012.3333333335
779,17,18,2,8,0,0,4335620.333333333
780,17,18,2,9,0,0,4846269.333333333
781,17,18,2,10,0,0,3680362.6666666665
782,17,18,2,11,0,0,2253216.0
785,17,19,1,9,0,0,5496985.333333333
786,17,19,1,10,0,0,5295298.666666667
787,17,19,1,11,0,0,3661545.3333333335
789,17,20,0,7,0,0,9133150.0
790,17,20,0,8,0,0,17485112.666666668
791,17,20,0,9,0,0,29214339.333333332
792,17,20,0,10,0,0,34980106.0
793,17,20,0,11,0,0,29989823.666666668
794,17,20,0,12,0,0,17602145.0
795,17,20,0,13,0,0,8052652.0
796,17,20,0,14,0,0,2687844.3333333335
800,17,20,2,9,0,0,3592685.3333333335
801,17,20,2,10,0,0,2534861.6666666665
804,17,21,1,9,0,0,3995092.3333333335
805,17,21,1,10,0,0,3658335.6666666665
806,17,21,1,11,0,0,2429708.6666666665
808,17,22,0,6,0,0,4834538.0
810,17,22,0,8,0,0,17636213.666666668
811,17,22,0,9,0,0,24301549.0
812,17,22,0,10,0,0,23986045.0
813,17,22,0,11,0,0,16386328.333333334
814,17,22,0,12,0,0,7715402.0
815,17,22,0,13,0,0,2684953.6666666665
824,17,24,0,8,0,0,11587363.666666666
825,17,24,0,9,0,0,12257624.666666666
826,17,24,0,10,0,0,9052972.666666666
827,17,24,0,11,0,0,4412649.333333333
